Country	Region	Order
Andorra	Europa	2
Afghanistan	Asia & Pacífico	3
Antigua and Barbuda	Sur/Latino América	1
Albania	Europa	2
Armenia	Europa	2
Angola	Africa	4
Argentina	Sur/Latino América	1
Australia	Asia & Pacífico	3
Algeria	Estados árabes	5
Austria	Europa	2
Azerbaijan	Asia & Pacífico	3
Bahamas	Sur/Latino América	1
Bahrain	Estados árabes	5
Bangladesh	Asia & Pacífico	3
Barbados	Sur/Latino América	1
Belarus	Europa	2
Belgium	Europa	2
Benin	Africa	4
Bhutan	Asia & Pacífico	3
Bolivia	Sur/Latino América	1
Bosnia and Herzegovina	Europa	2
Brazil	Sur/Latino América	1
Brunei	Asia & Pacífico	3
Bulgaria	Europa	2
Burkina Faso	Africa	4
Cabo Verde	Africa	4
Cambodia	Asia & Pacífico	3
Cameroon	Africa	4
Canada	Norte America	7
Chad	Africa	4
Chile	Sur/Latino América	1
China	Asia & Pacífico	3
Hong Kong	Asia & Pacífico	3
Colombia	Sur/Latino América	1
DR Congo	Africa	4
Congo	Africa	4
Costa Rica	Sur/Latino América	1
Ivory Coast	Africa	4
Croatia	Europa	2
Diamond Princess	Norte America	7
Cuba	Sur/Latino América	1
Cyprus	Europa	2
Czech Republic	Europa	2
Denmark	Europa	2
Djibouti	Estados árabes	5
Dominican Republic	Sur/Latino América	1
Ecuador	Sur/Latino América	1
Egypt	Medio oriente	6
El Salvador	Sur/Latino América	1
Equatorial Guinea	Africa	4
Estonia	Europa	2
Eswatini	Africa	4
Ethiopia	Africa	4
Finland	Europa	2
France	Europa	2
Gabon	Africa	4
Gambia	Africa	4
Tbilisi	Asia & Pacífico	3
Germany	Europa	2
Ghana	Africa	4
Greece	Europa	2
Guatemala	Sur/Latino América	1
Guinea	Africa	4
Guyana	Sur/Latino América	1
Haiti	Sur/Latino América	1
Vatican City	Europa	2
Honduras	Sur/Latino América	1
Hungary	Europa	2
Iceland	Europa	2
India	Asia & Pacífico	3
Indonesia	Asia & Pacífico	3
Iran	Medio oriente	6
Iraq	Medio oriente	6
Ireland	Europa	2
Israel	Europa	2
Italy	Europa	2
Jamaica	Sur/Latino América	1
Japan	Asia & Pacífico	3
Jordan	Medio oriente	6
Kazakhstan	Asia & Pacífico	3
Kenya	Africa	4
South Korea	Asia & Pacífico	3
Kuwait	Medio oriente	6
Kyrgyzstan	Asia & Pacífico	3
Latvia	Europa	2
Lebanon	Medio oriente	6
Liberia	Africa	4
Liechtenstein	Europa	2
Lithuania	Europa	2
Luxembourg	Europa	2
Madagascar	Africa	4
Malaysia	Asia & Pacífico	3
Maldives	Asia & Pacífico	3
Malta	Europa	2
Mauritania	Estados árabes	5
Mauritius	Africa	4
Mexico	Sur/Latino América	1
Moldova	Europa	2
Monaco	Europa	2
Mongolia	Asia & Pacífico	3
Montenegro	Europa	2
Morocco	Estados árabes	5
Namibia	Africa	4
Nepal	Asia & Pacífico	3
Netherlands	Europa	2
Eritrea	Africa	4
Fiji	Asia & Pacífico	3
New Zealand	Asia & Pacífico	3
Nicaragua	Sur/Latino América	1
Niger	Africa	4
Nigeria	Africa	4
North Macedonia	Europa	2
Norway	Europa	2
Oman	Medio oriente	6
Pakistan	Asia & Pacífico	3
Panama	Sur/Latino América	1
Papua New Guinea	Asia & Pacífico	3
Paraguay	Sur/Latino América	1
Peru	Sur/Latino América	1
Philippines	Asia & Pacífico	3
Poland	Europa	2
Portugal	Europa	2
Qatar	Medio oriente	6
Romania	Europa	2
Russia	Europa	2
Rwanda	Africa	4
Saint Lucia	Sur/Latino América	1
San Marino	Europa	2
Saudi Arabia	Medio oriente	6
Senegal	Africa	4
Serbia	Europa	2
Seychelles	Africa	4
Singapore	Asia & Pacífico	3
Slovakia	Europa	2
Slovenia	Europa	2
Somalia	Estados árabes	5
South Africa	Africa	4
Spain	Europa	2
Sri Lanka	Asia & Pacífico	3
Sudan	Estados árabes	5
Suriname	Sur/Latino América	1
Sweden	Europa	2
Switzerland	Europa	2
Taiwan	Asia & Pacífico	3
Tanzania	Africa	4
Thailand	Asia & Pacífico	3
Togo	Africa	4
Trinidad and Tobago	Sur/Latino América	1
Tunisia	Estados árabes	5
Turkey	Europa	2
Uganda	Africa	4
Ukraine	Europa	2
United Arab Emirates	Medio oriente	6
United Kingdom	Europa	2
Uruguay	Sur/Latino América	1
United States	Norte America	7
Uzbekistan	Asia & Pacífico	3
Venezuela	Sur/Latino América	1
Vietnam	Asia & Pacífico	3
Zambia	Africa	4
Zimbabwe	Africa	4
Dominica	Sur/Latino América	1
Grenada	Sur/Latino América	1
Mozambique	Africa	4
Syria	Medio oriente	6
Timor-Leste	Asia & Pacífico	3
Belize	Sur/Latino América	1
Laos	Asia & Pacífico	3
Libya	Medio oriente	6
West Bank and Gaza	Estados árabes	5
Guinea-Bissau	Africa	4
Mali	Africa	4
Saint Kitts and Nevis	Sur/Latino América	1
Myanmar	Asia & Pacífico	3
MS Zaandam	Europa	2
Botswana	Africa	4
Burundi	Africa	4
Sierra Leone	Africa	4
Malawi	Africa	4
South Sudan	Africa	4
Western Sahara	Africa	4
Sao Tome and Principe	Africa	4
Yemen	Medio oriente	6
Kosovo	Europa	2
Central African Republic	Africa	4
Saint Vincent and the Grenadines	Sur/Latino América	1
Comoros Africa 4
Lesotho Africa 4
Tajikistan Africa 4
